QUADRANT,FULLADDRESS,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
NW,1530 SWANN STREET NW,20009.0,5,3,2.0,2050000.0
NW,1515 SWANN STREET NW,20009.0,4,3,1.0,1337100.0
NW,953 25TH STREET NW,20037.0,3,1,1.0,869900.0
NW,2148 F STREET NW,20037.0,5,2,1.0,1200000.0
NW,1726 SWANN STREET NW,20009.0,2,2,2.0,1113000.0
NW,1501 6TH STREET NW,20001.0,3,2,1.0,1130000.0
NW,1545 6TH STREET NW,20001.0,4,3,3.0,875000.0
NW,1536 5TH STREET NW,20001.0,2,2,1.0,747500.0
NW,604 R STREET NW,20001.0,4,1,1.0,911000.0
NW,1624 6TH STREET NW,20001.0,3,1,1.0,930000.0
NW,1210 T STREET NW,20009.0,5,4,2.0,1300000.0
NW,1609 MARION STREET NW,20001.0,2,2,2.0,780000.0
NW,625 Q STREET NW,20001.0,3,2,2.0,1092000.0
NW,1512 6TH STREET NW,20001.0,4,4,4.0,1200000.0
NW,1621 13TH STREET NW,20009.0,5,4,2.0,1659000.0
NW,1608 8TH STREET NW,20001.0,2,2,1.0,640000.0
NW,817 Q STREET NW,20001.0,3,3,1.0,1450000.0
NW,804 RHODE ISLAND AVENUE NW,20001.0,6,4,2.0,1250000.0
NW,900 FRENCH STREET NW,20001.0,3,3,2.0,1415000.0
SW,1226 CARROLLSBURG PLACE SW,20024.0,3,2,1.0,750000.0
SW,1402 1ST STREET SW,20024.0,3,1,1.0,400000.0
NW,1526 MARION STREET NW,20001.0,2,2,1.0,750000.0
NW,1006 O STREET NW,20001.0,3,3,2.0,1300000.0
NW,915 FRENCH STREET NW,20001.0,3,1,1.0,600000.0
NW,927 FRENCH STREET NW,20001.0,3,1,1.0,935000.0
NW,1625 4TH STREET NW,20001.0,4,3,1.0,1140000.0
NW,1639 4TH STREET NW,20001.0,3,2,1.0,915000.0
NW,1612 3RD STREET NW,20001.0,4,3,1.0,935000.0
NW,602 M STREET NW,20001.0,6,3,3.0,900000.0
NW,1110 Q STREET NW,20009.0,2,1,1.0,430000.0
NW,1105 P STREET NW,20005.0,5,3,3.0,1710000.0
NW,1544 9TH STREET NW,20001.0,3,2,1.0,2600000.0
NW,917 O STREET NW,20001.0,4,3,2.0,1725000.0
SE,928 4TH STREET SE,20003.0,3,2,1.0,975000.0
SE,549 4TH STREET SE,20003.0,4,2,2.0,1006000.0
SE,612 3RD STREET SE,20003.0,7,7,2.0,2650000.0
SE,113 C STREET SE,20003.0,5,5,4.0,1600000.0
NE,414 1/2 4TH STREET NE,20002.0,4,2,2.0,1150000.0
NE,607 4TH STREET NE,20002.0,3,2,1.0,782525.0
NE,423 E STREET NE,20002.0,5,3,2.0,1255000.0
NE,403 4TH STREET NE,20002.0,2,1,1.0,792500.0
NE,726 3RD STREET NE,20002.0,4,3,1.0,940000.0
NE,218 F STREET NE,20002.0,4,3,1.0,1375000.0
SE,129 DUDDINGTON PLACE SE,20003.0,3,1,1.0,815000.0
SE,156 DUDDINGTON PLACE SE,20003.0,2,1,1.0,830000.0
SE,146 DUDDINGTON PLACE SE,20003.0,2,2,1.0,883550.0
NW,1526 3RD STREET NW,20001.0,0,1,1.0,582750.0
SW,84 Q STREET SW,20024.0,2,2,2.0,600000.0
NW,2126 N STREET NW,20037.0,2,2,1.0,1301400.0
NW,1733 Q STREET NW,20009.0,5,3,2.0,2430000.0
NW,1737 1/2 CORCORAN STREET NW,20009.0,3,2,2.0,1270000.0
NW,1430 FLORIDA AVENUE NW,20009.0,4,3,1.0,939000.0
NW,1426 FLORIDA AVENUE NW,20009.0,3,2,2.0,882000.0
NW,1441 W STREET NW,20009.0,4,2,2.0,1099000.0
NW,1443 W STREET NW,20009.0,3,3,2.0,1145000.0
NW,1742 1/2 Q STREET NW,20009.0,5,4,3.0,2350000.0
NW,1704 Q STREET NW,20009.0,7,5,2.0,1950000.0
NW,1773 CHURCH STREET NW,20036.0,4,3,2.0,1600000.0
NW,1508 KINGMAN PLACE NW,20005.0,3,3,1.0,1385000.0
NW,1531 KINGMAN PLACE NW,20005.0,2,1,2.0,1200000.0
NW,12 LOGAN CIRCLE NW,20005.0,8,2,2.0,2900000.0
NW,1504 13TH STREET NW,20005.0,3,3,2.0,1795000.0
NW,2127 15TH STREET NW,20009.0,3,1,1.0,895000.0
NW,2129 15TH STREET NW,20009.0,4,2,2.0,1000000.0
NW,1419 SWANN STREET NW,20009.0,2,2,2.0,1360000.0
NW,1423 SWANN STREET NW,20009.0,3,2,1.0,1100000.0
NW,940 P STREET NW,20001.0,6,3,2.0,705000.0
SW,615 4TH STREET SW,20024.0,3,2,1.0,762500.0
SW,624 4TH PLACE SW,20024.0,3,2,1.0,1020000.0
NW,1110 P STREET NW,20005.0,5,3,3.0,1355000.0
NW,908 O STREET NW,20001.0,3,2,1.0,970250.0
NW,906 O STREET NW,20001.0,4,1,1.0,825000.0
NW,904 O STREET NW,20001.0,3,1,1.0,940000.0
NW,1326 NAYLOR COURT NW,20001.0,1,1,1.0,900000.0
NW,1326 9TH STREET NW,20001.0,4,3,1.0,1029000.0
NW,1312 NAYLOR COURT NW,20001.0,1,1,1.0,1149000.0
SW,109 P STREET SW,20024.0,2,1,1.0,550250.0
SW,116 O STREET SW,20024.0,2,2,2.0,560000.0
SW,100 O STREET SW,20024.0,2,2,2.0,530007.0
NW,2200 12TH STREET NW,20009.0,3,2,1.0,1329000.0
NW,1215 W STREET NW,20009.0,3,2,1.0,993500.0
NW,1223 W STREET NW,20009.0,3,1,1.0,490000.0
NW,1010 W STREET NW,20001.0,2,1,1.0,699900.0
NW,1006 W STREET NW,20001.0,2,2,1.0,679900.0
NW,2122 10TH STREET NW,20001.0,3,2,1.0,1250000.0
NW,2120 10TH STREET NW,20001.0,3,2,1.0,1335000.0
NW,2116 10TH STREET NW,20001.0,3,2,1.0,1340000.0
NW,2006 10TH STREET NW,20001.0,4,4,3.0,1330000.0
NW,1405 5TH STREET NW,20001.0,3,3,2.0,1090000.0
NW,914 N STREET NW,20001.0,2,1,1.0,839500.0
NW,1233 10TH STREET NW,20001.0,5,4,2.0,1675000.0
NW,1237 10TH STREET NW,20001.0,6,4,3.0,1250000.0
NW,2232 12TH PLACE NW,20009.0,2,1,1.0,687250.0
NW,2228 12TH PLACE NW,20009.0,2,1,1.0,640000.0
NW,1913 11TH STREET NW,20001.0,2,2,2.0,1635000.0
NW,1922 10TH STREET NW,20001.0,3,2,1.0,865000.0
NW,1821 VERMONT AVENUE NW,20001.0,4,4,1.0,1500000.0
NW,1011 S STREET NW,20001.0,3,2,2.0,1245000.0
NW,40 K STREET NW,20001.0,4,2,2.0,540000.0
SW,609 7TH STREET SW,20024.0,2,2,1.0,859000.0
SW,815 G STREET SW,20024.0,2,3,1.0,993000.0
SW,817 G STREET SW,20024.0,2,2,1.0,985000.0
NW,2227 12TH PLACE NW,20009.0,2,1,1.0,710000.0
NW,2257 12TH PLACE NW,20009.0,2,1,1.0,665000.0
NW,2218 12TH STREET NW,20009.0,2,1,1.0,805000.0
NW,2206 12TH STREET NW,20009.0,2,2,1.0,835000.0
NW,435 RIDGE STREET NW,20001.0,2,1,1.0,795200.0
NW,445 RIDGE STREET NW,20001.0,4,2,1.0,995000.0
NW,1907 8TH STREET NW,20001.0,3,1,1.0,835116.0
NW,2248 12TH STREET NW,20009.0,2,2,1.0,797500.0
NW,1421 1ST STREET NW,20001.0,2,2,1.0,758000.0
SE,450 NEW JERSEY AVENUE SE,20003.0,3,2,2.0,900000.0
NW,61 NEW YORK AVENUE NW,20001.0,4,2,2.0,651000.0
SE,129 NORTH CAROLINA AVENUE SE,20003.0,3,2,1.0,1450000.0
SE,141 NORTH CAROLINA AVENUE SE,20003.0,3,2,1.0,1300000.0
SW,1421 CARROLLSBURG PLACE SW,20024.0,2,1,1.0,450000.0
NW,230 FLORIDA AVENUE NW,20001.0,4,2,1.0,735000.0
NW,225 R STREET NW,20001.0,5,4,2.0,1535000.0
NW,1530 1ST STREET NW,20001.0,3,1,1.0,600000.0
NW,108 BATES STREET NW,20001.0,2,2,1.0,850000.0
SE,912 3RD STREET SE,20003.0,3,3,1.0,995000.0
NW,1809 6TH STREET NW,20001.0,2,4,4.0,615000.0
NW,1833 6TH STREET NW,20001.0,3,1,1.0,815000.0
NW,508 FLORIDA AVENUE NW,20001.0,3,2,1.0,749550.0
NW,513 S STREET NW,20001.0,3,2,1.0,750000.0
NW,1632 NEW JERSEY AVENUE NW,20001.0,2,3,2.0,712000.0
SE,714 4TH STREET SE,20003.0,4,3,2.0,1075000.0
NW,22 1/2 Q STREET NW,20001.0,4,3,2.0,700000.0
NW,53 P STREET NW,20001.0,3,3,1.0,825000.0
NW,88 P STREET NW,20001.0,4,4,2.0,995000.0
NW,23 N STREET NW,20001.0,5,4,1.0,1250000.0
NW,31 N STREET NW,20001.0,3,3,2.0,826000.0
NE,430 3RD STREET NE,20002.0,4,4,1.0,2500000.0
NE,224 C STREET NE,20002.0,4,4,2.0,1500000.0
NW,20 N STREET NW,20001.0,5,2,1.0,750000.0
NW,75 NEW YORK AVENUE NW,20001.0,4,3,2.0,840000.0
SW,8 O STREET SW,20024.0,3,2,1.0,650000.0
SW,55 Q STREET SW,20024.0,2,2,2.0,575000.0
SW,57 Q STREET SW,20024.0,2,2,2.0,575000.0
SW,59 Q STREET SW,20024.0,2,2,2.0,575000.0
SW,63 Q STREET SW,20024.0,2,2,2.0,575000.0
SW,65 Q STREET SW,20024.0,2,2,2.0,575000.0
SE,101 DUDDINGTON PLACE SE,20003.0,3,2,1.0,1275000.0
NW,201 BATES STREET NW,20001.0,3,2,1.0,778000.0
NW,207 BATES STREET NW,20001.0,3,1,1.0,284335.0
NW,213 BATES STREET NW,20001.0,4,1,1.0,630000.0
NW,1419 3RD STREET NW,20001.0,3,2,1.0,610000.0
SE,328 K STREET SE,20003.0,4,3,1.0,1200000.0
NE,741 3RD STREET NE,20002.0,3,2,1.0,748000.0
SE,531 2ND STREET SE,20003.0,3,1,1.0,725000.0
NE,1114 6TH STREET NE,20002.0,3,2,1.0,840000.0
NE,621 MORRIS PLACE NE,20002.0,3,2,1.0,853632.0
NE,639 MORRIS PLACE NE,20002.0,3,1,1.0,685000.0
SE,417 INDEPENDENCE AVENUE SE,20003.0,2,1,1.0,749900.0
SE,433 NEW JERSEY AVENUE SE,20003.0,5,3,2.0,1300000.0
NW,217 BATES STREET NW,20001.0,4,2,2.0,825000.0
SE,300 G STREET SE,20003.0,3,1,1.0,685000.0
SE,407 2ND STREET SE,20003.0,3,3,2.0,741000.0
SE,120 NORTH CAROLINA AVENUE SE,20003.0,3,2,1.0,912000.0
NW,1548 3RD STREET NW,20001.0,2,2,1.0,766000.0
NW,1545 4TH STREET NW,20001.0,3,1,2.0,550000.0
NW,1505 4TH STREET NW,20001.0,6,3,3.0,646380.0
NW,1334 5TH STREET NW,20001.0,4,3,2.0,1455000.0
NW,403 R STREET NW,20001.0,3,2,1.0,1055000.0
NW,1410 3RD STREET NW,20001.0,2,1,1.0,615000.0
SW,122 O STREET SW,20024.0,2,2,2.0,555000.0
NW,429 R STREET NW,20001.0,2,2,1.0,789000.0
NE,407 D STREET NE,20002.0,2,1,1.0,739000.0
NE,618 3RD STREET NE,20002.0,4,2,1.0,925000.0
NE,228 F STREET NE,20002.0,4,3,2.0,480700.0
NW,1649 NEW JERSEY AVENUE NW,20001.0,2,1,1.0,485000.0
NW,1651 NEW JERSEY AVENUE NW,20001.0,3,2,1.0,1094000.0
NW,1631 NEW JERSEY AVENUE NW,20001.0,2,2,1.0,730000.0
NW,45 BATES STREET NW,20001.0,4,2,2.0,577000.0
NE,688 4TH STREET NE,20002.0,1,1,1.0,515000.0
NW,1331 1ST STREET NW,20001.0,3,1,1.0,665000.0
SE,105 E STREET SE,20003.0,4,3,2.0,1220000.0
SE,16 NORTH CAROLINA AVENUE SE,20003.0,3,2,1.0,875000.0
NW,1515 3RD STREET NW,20001.0,4,2,2.0,600000.0
